employee_id,timestamp,age,sex,hire_date,department,job_level,base_salary,manager_id,absences_30d,absences_90d,lateness_30d,overtime_30d,perf_rating,engagement_score,one_on_one_90d,warnings_count,training_hours_90d,external_offer_flag,manager_change,promotion_flag,left_within_90d,resignation_date
1,2022-01-01,27,F,2017-05-10,Finance,5,3847,122,0,7,4,33,2,4.08,1,0,24,0,0,0,0,
1,2022-02-01,27,F,2017-05-10,Finance,5,3847,122,0,4,1,24,4,2.51,3,0,15,0,0,0,0,
1,2022-03-01,27,F,2017-05-10,Finance,5,3847,122,2,2,1,2,3,1.74,0,0,14,0,0,0,0,
1,2022-04-01,27,F,2017-05-10,Finance,5,3847,122,2,3,1,9,2,1.87,3,0,16,0,0,0,1,1654905600000000000
1,2022-05-01,27,F,2017-05-10,Finance,5,3847,122,1,3,2,0,5,2.65,1,0,16,0,1,0,0,
1,2022-06-01,27,F,2017-05-10,Finance,5,3847,122,0,0,0,32,2,4.37,1,0,22,0,0,0,0,
1,2022-07-01,27,F,2017-05-10,Finance,5,3847,122,0,3,1,20,1,4.63,1,0,6,0,0,0,0,
1,2022-08-01,27,F,2017-05-10,Finance,5,3847,122,2,4,3,4,1,1.86,0,0,22,0,0,0,0,
1,2022-09-01,27,F,2017-05-10,Finance,5,3847,122,0,1,3,22,4,2.41,2,0,3,0,1,0,0,
1,2022-10-01,27,F,2017-05-10,Finance,5,3847,122,0,4,3,28,5,1.7,0,0,13,0,0,0,0,
1,2022-11-01,27,F,2017-05-10,Finance,5,3847,122,0,3,3,38,3,1.01,1,0,3,0,0,0,0,
1,2022-12-01,27,F,2017-05-10,Finance,5,3847,122,2,2,1,14,5,4.61,2,0,29,0,0,0,0,
1,2023-01-01,27,F,2017-05-10,Finance,5,3847,122,2,3,1,38,2,2.22,3,0,27,0,0,0,0,
1,2023-02-01,27,F,2017-05-10,Finance,5,3847,122,0,3,2,22,2,2.48,0,0,16,0,0,0,0,
1,2023-03-01,27,F,2017-05-10,Finance,5,3847,122,1,4,0,37,3,1.94,0,0,1,0,0,0,0,
1,2023-04-01,27,F,2017-05-10,Finance,5,3847,122,2,1,0,19,2,3.74,1,0,12,0,0,0,0,
1,2023-05-01,27,F,2017-05-10,Finance,5,3847,122,0,1,2,10,4,1.97,3,0,19,0,0,0,0,
1,2023-06-01,27,F,2017-05-10,Finance,5,3847,122,0,2,3,36,3,2.99,2,0,9,0,0,0,0,
1,2023-07-01,27,F,2017-05-10,Finance,5,3847,122,0,0,1,25,4,3.59,0,0,26,0,0,0,0,
1,2023-08-01,27,F,2017-05-10,Finance,5,3847,122,1,2,3,3,1,2.12,1,0,1,0,0,0,0,
1,2023-09-01,27,F,2017-05-10,Finance,5,3847,122,0,2,2,8,5,4.49,2,0,25,0,0,0,0,
1,2023-10-01,27,F,2017-05-10,Finance,5,3847,122,3,0,4,23,4,4.52,0,0,24,0,0,0,0,
1,2023-11-01,27,F,2017-05-10,Finance,5,3847,122,1,4,3,28,5,2.39,2,0,19,0,1,0,0,
1,2023-12-01,27,F,2017-05-10,Finance,5,3847,122,1,2,1,18,3,1.12,2,0,25,0,0,0,0,
2,2022-01-01,39,M,2018-07-18,Operations,5,17380,11,1,5,3,32,5,3.8,1,0,23,0,0,0,0,
2,2022-02-01,39,M,2018-07-18,Operations,5,17380,11,1,4,3,5,3,4.75,0,0,28,0,0,0,0,
2,2022-03-01,39,M,2018-07-18,Operations,5,17380,11,0,4,1,28,2,1.25,0,0,5,0,0,0,0,
2,2022-04-01,39,M,2018-07-18,Operations,5,17380,11,0,1,5,22,4,3.81,3,0,25,0,0,0,0,
2,2022-05-01,39,M,2018-07-18,Operations,5,17380,11,3,2,3,20,4,4.33,1,0,4,0,0,0,0,
2,2022-06-01,39,M,2018-07-18,Operations,5,17380,11,2,1,2,31,4,3.88,2,0,19,0,0,0,0,
2,2022-07-01,39,M,2018-07-18,Operations,5,17380,11,1,4,1,15,1,2.58,2,0,9,0,0,0,0,
2,2022-08-01,39,M,2018-07-18,Operations,5,17380,11,0,6,2,8,2,2.63,3,0,21,0,0,1,0,
2,2022-09-01,39,M,2018-07-18,Operations,5,17380,11,2,5,2,33,2,2.04,1,0,22,0,0,0,0,
2,2022-10-01,39,M,2018-07-18,Operations,5,17380,11,1,2,3,34,3,2.28,3,0,5,0,0,1,1,1670198400000000000
2,2022-11-01,39,M,2018-07-18,Operations,5,17380,11,0,3,4,14,2,3.27,1,0,24,0,0,0,0,
